code,name,截止日期,盈利(百萬),盈利增長(%),每股盈利,每股盈利增長(%),每股派息,市盈率(倍),周息率(%),派息比率(%),每股賬面資產淨值,基準貨幣,兌換比率
00001,長江和記實業s,2015/12,118570,120.11,36.9100,58.68,2.5500,2.61,2.64,6.91,101.9347,港元,1
00001,長江和記實業s,2016/12,33008,-72.16,8.5500,-76.84,2.6800,11.57,2.71,31.35,102.1778,港元,1
00001,長江和記實業s,2017/12,35100,6.34,9.1000,6.43,2.8500,8.97,3.49,31.32,111.4805,港元,1
00001,長江和記實業s,2018/12,39000,11.11,10.1100,11.10,3.1700,4.51,6.96,31.36,115.6958,港元,1
00001,長江和記實業s,2019/12,39830,2.13,10.3300,2.18,3.1700,5.35,5.74,30.69,120.3984,港元,1
00002,中電控股s,2015/12,15656,39.52,6.2000,39.64,2.7000,11.27,3.87,43.55,36.8572,港元,1
00002,中電控股s,2016/12,12711,-18.81,5.0300,-18.87,2.8000,13.89,4.01,55.67,38.7936,港元,1
00002,中電控股s,2017/12,14249,12.10,5.6400,12.13,2.9100,12.38,4.17,51.60,43.0236,港元,1
00002,中電控股s,2018/12,13550,-4.91,5.3600,-4.96,3.0200,13.03,4.32,56.34,43.1645,港元,1
00002,中電控股s,2019/12,4657,-65.63,1.8400,-65.67,3.0800,44.24,3.78,167.39,41.7404,港元,1
00003,香港中華煤氣s,2015/12,7302,2.71,0.5740,-6.67,0.3500,26.10,2.34,60.98,4.5707,港元,1
00003,香港中華煤氣s,2016/12,7341,0.53,0.5250,-8.54,0.3500,30.70,2.17,66.67,4.2409,港元,1
00003,香港中華煤氣s,2017/12,8225,12.05,0.5350,1.90,0.3500,33.72,1.94,65.42,4.3209,港元,1
00003,香港中華煤氣s,2018/12,9313,13.22,0.5500,2.80,0.3500,26.51,2.40,63.64,4.0556,港元,1
00003,香港中華煤氣s,2019/12,6966,-25.20,0.4120,-25.09,0.3500,33.20,2.56,84.95,-,港元,1
00004,九龍倉集團s,2015/12,16024,-55.40,5.2900,-55.40,1.9000,11.77,3.05,35.92,101.5269,港元,1
00004,九龍倉集團s,2016/12,21440,33.80,7.0700,33.65,2.1500,4.36,6.98,30.41,104.4835,港元,1
00004,九龍倉集團s,2017/12,21876,2.03,7.2100,1.98,1.5900,3.55,6.21,22.05,46.7481,港元,1
00004,九龍倉集團s,2018/12,6623,-69.72,2.1800,-69.76,0.6500,7.28,4.09,29.82,44.4450,港元,1
00004,九龍倉集團s,2019/12,3386,-48.88,1.1100,-49.08,0.3250,12.43,2.36,29.28,46.8593,港元,1
00005,匯豐控股s,2015/12,104802,-1.28,5.0378,-5.86,3.9528,13.70,5.73,78.46,74.2013,港元,7.7505
00005,匯豐控股s,2016/12,19222,-81.66,0.5428,-89.23,3.8770,150.34,4.75,714.29,67.3520,港元,7.754
00005,匯豐控股s,2017/12,84376,338.95,3.7507,591.02,3.9851,18.05,5.89,106.25,73.1575,港元,7.814
00005,匯豐控股s,2018/12,107537,27.45,4.9354,31.59,3.9953,10.70,7.57,80.95,71.6624,港元,7.834
00005,匯豐控股s,2019/12,57491,-46.54,2.3361,-52.67,2.3361,16.59,6.03,100.00,69.4070,港元,7.787
00006,電能實業s,2015/12,7732,-87.33,3.6200,-87.33,2.7000,18.81,3.96,74.59,57.9109,港元,1
00006,電能實業s,2016/12,6417,-17.01,3.0100,-16.85,7.7200,22.91,11.20,256.48,55.4810,港元,1
00006,電能實業s,2017/12,8319,29.64,3.9000,29.57,16.3000,14.01,29.83,417.95,44.7836,港元,1
00006,電能實業s,2018/12,7636,-8.21,3.5800,-8.21,2.8000,14.11,5.54,78.21,39.1503,港元,1
00006,電能實業s,2019/12,7131,-6.61,3.3400,-6.70,2.8000,15.37,5.45,83.83,40.0569,港元,1
00007,香港金融集團,2015/12,-36,3.38,-0.0225,9.64,0.0000,-37.33,0.00,0.00,0.2303,港元,1
00007,香港金融集團,2016/12,-5,87.33,-0.0026,88.44,0.0000,-426.92,0.00,0.00,0.3061,港元,1
00007,香港金融集團,2017/12,12,-,0.0046,-,0.0000,200.00,0.00,0.00,0.3318,港元,1
00007,香港金融集團,2018/12,160,1.27K,0.0455,889.13,0.0000,17.58,0.00,0.00,0.7667,港元,1
00007,香港金融集團,2019/12,663,314.19,0.1657,264.18,0.0000,4.71,0.00,0.00,-,港元,1
00008,電訊盈科s,2015/12,2295,-30.66,0.3058,-32.26,0.2500,14.98,5.46,81.75,1.4465,港元,1
00008,電訊盈科s,2016/12,2051,-10.63,0.2679,-12.39,0.2833,16.35,6.47,105.75,1.5578,港元,1
00008,電訊盈科s,2017/12,2038,-0.63,0.2645,-1.27,0.2975,17.81,6.32,112.48,2.4859,港元,1
00008,電訊盈科s,2018/12,897,-55.99,0.1163,-56.03,0.3124,41.27,6.51,268.62,2.2145,港元,1
00008,電訊盈科s,2019/12,681,-24.08,0.0883,-24.08,0.3218,52.66,6.92,364.44,2.0128,港元,1
00009,金奧國際,2015/12,-644,-261.47,-0.4234,-217.39,0.0000,-0.76,0.00,0.00,0.5758,港元,1
00009,金奧國際,2016/12,-329,48.92,-0.1454,65.66,0.0000,-1.96,0.00,0.00,0.5855,港元,1
00009,金奧國際,2017/12,-395,-20.29,-0.1465,-0.76,0.0000,-1.48,0.00,0.00,0.4069,港元,1
00009,金奧國際,2018/12,-354,10.46,-0.1084,26.01,0.0000,-1.11,0.00,0.00,0.2816,港元,1
00009,金奧國際,2019/12,-289,18.39,-0.0810,25.28,0.0000,-1.36,0.00,0.00,-,港元,1
00010,恒隆集團s,2015/12,3211,-52.95,2.3700,-52.98,0.8000,12.83,2.63,33.76,55.6974,港元,1
00010,恒隆集團s,2016/12,3713,15.63,2.7300,15.19,0.8000,11.10,2.64,29.30,55.5492,港元,1
00010,恒隆集團s,2017/12,5314,43.12,3.9000,42.86,0.8000,5.74,3.57,20.51,61.0404,港元,1
00010,恒隆集團s,2018/12,5285,-0.55,3.8800,-0.51,0.8000,5.36,3.85,20.62,63.4706,港元,1
00010,恒隆集團s,2019/12,6816,28.97,5.0100,29.12,1.0800,3.36,6.41,21.56,67.0482,港元,1
00011,恒生銀行s,2015/12,27494,81.71,14.2200,79.77,8.7000,12.85,4.76,61.18,74.2640,港元,1
00011,恒生銀行s,2016/12,16212,-41.03,8.3000,-41.63,6.1000,23.19,3.17,73.49,73.5552,港元,1
00011,恒生銀行s,2017/12,20018,23.48,10.3000,24.10,6.7000,18.02,3.61,65.05,79.5201,港元,1
00011,恒生銀行s,2018/12,24211,20.95,12.4800,21.17,7.5000,12.97,4.63,60.10,84.7779,港元,1
00011,恒生銀行s,2019/12,24840,2.60,12.7700,2.32,8.2000,10.37,6.19,64.21,93.5276,港元,1
00012,恒基地產s,2015/12,21326,27.30,5.8700,14.87,1.4500,8.09,3.05,24.70,75.9973,港元,1
00012,恒基地產s,2016/12,21916,2.77,5.4800,-6.64,1.5500,8.41,3.36,28.28,72.2043,港元,1
00012,恒基地產s,2017/12,30809,40.58,7.0000,27.74,1.7100,6.59,3.71,24.43,73.1252,港元,1
00012,恒基地產s,2018/12,31157,1.13,6.4400,-8.00,1.8000,4.40,6.35,27.95,71.1550,港元,1
00012,恒基地產s,2019/12,16994,-45.46,3.5100,-45.50,1.8000,8.85,5.80,51.28,-,港元,1
00014,希慎興業s,2015/12,2903,-40.78,2.7317,-40.72,1.3200,12.81,3.77,48.32,64.4849,港元,1
00014,希慎興業s,2016/12,1218,-58.04,1.1635,-57.41,1.3500,38.29,3.03,116.03,64.5634,港元,1
00014,希慎興業s,2017/12,3636,198.52,3.4778,198.91,1.3700,12.11,3.25,39.39,66.8879,港元,1
00014,希慎興業s,2018/12,6033,65.92,5.7666,65.81,1.4400,5.13,4.86,24.97,71.1236,港元,1
