code,name,time,netProfit ,netProfit Growth,eps,epsGrowth,interestRates,PE,dividendYield,payoutRatio,netAssetValue,currency,rate,year,month
00001,長江和記實業s,2015-12-01,118570.0,120.11,36.91,58.68,2.55,2.61,2.64,6.91,101.9347,港元,1.0,2015,12
00001,長江和記實業s,2016-12-01,33008.0,-72.16,8.55,-76.84,2.68,11.57,2.71,31.35,102.1778,港元,1.0,2016,12
00001,長江和記實業s,2017-12-01,35100.0,6.34,9.1,6.43,2.85,8.97,3.49,31.32,111.4805,港元,1.0,2017,12
00001,長江和記實業s,2018-12-01,39000.0,11.11,10.11,11.1,3.17,4.51,6.96,31.36,115.6958,港元,1.0,2018,12
00001,長江和記實業s,2019-12-01,39830.0,2.13,10.33,2.18,3.17,5.35,5.74,30.69,120.3984,港元,1.0,2019,12
00002,中電控股s,2015-12-01,15656.0,39.52,6.2,39.64,2.7,11.27,3.87,43.55,36.8572,港元,1.0,2015,12
00002,中電控股s,2016-12-01,12711.0,-18.81,5.03,-18.87,2.8,13.89,4.01,55.67,38.7936,港元,1.0,2016,12
00002,中電控股s,2017-12-01,14249.0,12.1,5.64,12.13,2.91,12.38,4.17,51.6,43.0236,港元,1.0,2017,12
00002,中電控股s,2018-12-01,13550.0,-4.91,5.36,-4.96,3.02,13.03,4.32,56.34,43.1645,港元,1.0,2018,12
00002,中電控股s,2019-12-01,4657.0,-65.63,1.84,-65.67,3.08,44.24,3.78,167.39,41.7404,港元,1.0,2019,12
00003,香港中華煤氣s,2015-12-01,7302.0,2.71,0.574,-6.67,0.35,26.1,2.34,60.98,4.5707,港元,1.0,2015,12
00003,香港中華煤氣s,2016-12-01,7341.0,0.53,0.525,-8.54,0.35,30.7,2.17,66.67,4.2409,港元,1.0,2016,12
00003,香港中華煤氣s,2017-12-01,8225.0,12.05,0.535,1.9,0.35,33.72,1.94,65.42,4.3209,港元,1.0,2017,12
00003,香港中華煤氣s,2018-12-01,9313.0,13.22,0.55,2.8,0.35,26.51,2.4,63.64,4.0556,港元,1.0,2018,12
00003,香港中華煤氣s,2019-12-01,6966.0,-25.2,0.412,-25.09,0.35,33.2,2.56,84.95,4.0556,港元,1.0,2019,12
00004,九龍倉集團s,2015-12-01,16024.0,-55.4,5.29,-55.4,1.9,11.77,3.05,35.92,101.5269,港元,1.0,2015,12
00004,九龍倉集團s,2016-12-01,21440.0,33.8,7.07,33.65,2.15,4.36,6.98,30.41,104.4835,港元,1.0,2016,12
00004,九龍倉集團s,2017-12-01,21876.0,2.03,7.21,1.98,1.59,3.55,6.21,22.05,46.7481,港元,1.0,2017,12
00004,九龍倉集團s,2018-12-01,6623.0,-69.72,2.18,-69.76,0.65,7.28,4.09,29.82,44.445,港元,1.0,2018,12
00004,九龍倉集團s,2019-12-01,3386.0,-48.88,1.11,-49.08,0.325,12.43,2.36,29.28,46.8593,港元,1.0,2019,12
00005,匯豐控股s,2015-12-01,104802.0,-1.28,5.0378,-5.86,3.9528,13.7,5.73,78.46,74.2013,港元,7.7505,2015,12
